track_id,track_name,valence,energy,tempo,duration_ms
track_108,VibeSync Track 108,0.364,0.713,102.5,158796
track_109,VibeSync Track 109,0.304,0.474,116.6,266208
track_110,VibeSync Track 110,0.491,0.543,92.3,186235
track_111,VibeSync Track 111,0.373,0.474,128.9,261121
track_112,VibeSync Track 112,0.252,0.558,152.7,224676
track_113,VibeSync Track 113,0.678,0.511,116.1,222757
track_114,VibeSync Track 114,0.743,0.669,113.3,211397
track_115,VibeSync Track 115,0.596,0.203,91.2,260591
track_116,VibeSync Track 116,0.831,0.5,112.5,155865
track_117,VibeSync Track 117,0.287,0.54,79.8,162522
track_118,VibeSync Track 118,0.598,0.903,96.1,207157
track_119,VibeSync Track 119,0.318,0.758,123.4,203255
